input_row_key,input_company_name,candidate_company_name,location_score,name_score,total_score
107,CONTROL RISKS GROUP LIMITED,Control risks,335.88,78.57,414.45
306,LEOCH BATTERY PTE. LTD.,LEOCH Battery,334.71,78.79,413.5
197,GARTNER ADVISORY (SINGAPORE) PTE LTD,Gartner Advisory S Pte Ltd.,334.71,78.57,413.28
502,"TEAM INTERNATIONAL SERVICES, INC.",TEAM International,337.2,75.0,412.2
348,NET ONE ASIA PTE. LTD.,Net One Asia,334.71,77.42,412.13
495,Tata Communications International Pte. Ltd.,Tata Steel International S Pte. Ltd.,334.71,76.06,410.77
365,Ntt (Thailand) Ltd,NTT DATA Thailand,333.23,77.42,410.65000000000003
69,BCD N.V.,BCD,335.54,75.0,410.54
213,Green Packet Berhad,GREEN PACKET,332.91,77.42,410.33000000000004
5,"3DEGREES GROUP, INC.",3Degrees Inc.,336.08,74.07,410.15
277,JACK OF DIGITAL (PRIVATE) LIMITED,Jack of Digital,334.33,75.0,409.33
135,ELTEK AS,Eltek,331.64,76.92,408.56
258,IMIMOBILE EUROPE LIMITED,IMImobile,335.88,72.0,407.88
29,"AMAZON WEB SERVICES, INC.",Amazon Web Services | API Gateway,335.07,72.73,407.8
96,CISCO NORWAY AS,Cisco Systems Norway AS,330.87,76.47,407.34000000000003
210,GOOGLE IRELAND LIMITED,Anbieter Google Ireland,331.63,75.68,407.31
531,Thailife Insurance Public Company Limited,Thai Life Insurance,333.23,72.0,405.23
71,"Beijing Dynamic Power Co., Ltd",Beijing High-tech Dynamic Power Co. Ltd.,326.93,77.97,404.9
515,TELENOR FIBER AS,Telenor Towers,330.87,73.33,404.2
329,MICROSOFT REGIONAL SALES PTE. LTD.,Micro Express Sales Pte Ltd.,334.71,69.23,403.94
458,SINGTEL GLOBAL INVESTMENT PTE. LTD.,Balestier Investment Pte. Ltd.,334.71,69.09,403.79999999999995
444,ServiceNow Nederland B.V.,ServiceNow BV.,333.05,70.59,403.64
202,GINTEL AS,Gintel Norway,330.73,72.73,403.46000000000004
102,COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,All Property Solutions Singapore,334.71,68.75,403.46
127,DELL AS,Dell,330.55,72.73,403.28000000000003
231,"HIGH TOUCH, INC.",High Touch High Tech,336.59,66.67,403.26
386,Orbis Oy,Worbis,331.53,71.43,402.96
131,DELOITTE AS,Deloitte Norge,330.55,72.0,402.55
380,ONETRUST TECHNOLOGY LIMITED,OneTrust ES,335.88,66.67,402.55
463,SMART TECHNOLOGIES (BD) LIMITED,Boolean Technologies BD,328.34,73.91,402.25
462,Smart Media4U Technology Pte. Ltd.,Smart city technologies,334.71,66.67,401.38
27,ALLEN OVERY SHEARMAN STERLING LLP,Shearman & Sterling,335.88,65.38,401.26
251,Human Edge Management AG,Human Edge,332.23,68.97,401.20000000000005
179,EUTELSAT S.A.,EUTELSAT IGO,323.31,77.78,401.09000000000003
114,"CROWDSTRIKE SERVICES, INC.",CrowdStrike,336.08,64.71,400.78999999999996
319,Maven Wireless Sweden AB,Maven Wireless,326.94,73.68,400.62
62,Axteq ApS,Axteq,328.47,71.43,399.90000000000003
63,Az-Technology Sdn. Bhd.,AZ Technology,332.91,66.67,399.58000000000004
34,American Express Europe SA (Norway),American Express Company AS,330.55,68.97,399.52
426,Rezponz A/S,Rezponz,321.46,77.78,399.24
344,NEMTILMELD.DK ApS,NemTilmeld,324.3,74.07,398.37
562,Viaplay Group AB (publ),Viaplay Group,325.77,72.22,397.99
514,TELENOR DIGITAL AS,Telenor Objects AS,330.87,66.67,397.54
355,Nokia Innovations Oy,Nokia Foundation,330.77,66.67,397.44
540,Tp Link International Ltd.,LINK Logistics International Network,332.94,64.41,397.35
85,CBRE AS,CBRE Norway,330.55,66.67,397.22
569,WIDEROE AS,Widerøe Cargo,327.11,69.57,396.68
567,WATEEN SOLUTIONS (PVT.) LIMITED,Wateen electronics,333.33,63.16,396.49
375,Media Direction A/S,New Media Direction,316.81,78.95,395.76
147,DUBEX A/S,Dubex,324.02,71.43,395.45
229,"Hewlett Packard Singapore (Sales) Pte., Ltd.",Hewlett Packard Depot Rd,334.71,60.32,395.03
480,Stena Recycling Holding AB,Stena Recycling AB - Tingstad,321.99,72.73,394.72
371,OCH A/S,Och DK A/S.,316.81,77.78,394.59000000000003
80,Brobizz A/S,Brobizz,316.81,77.78,394.59000000000003
252,Hydro Energi AS,Hydro Rein,330.55,64.0,394.55
180,Ework Group AB (Publ),Ework Group,325.77,68.75,394.52
447,"SHENZHEN CENTER POWER TECH. CO., LTD.",Shenzhen SMACH POWER Technology Co. Ltd.,322.26,71.64,393.9
287,KANTAR TNS AS,Kantar,330.55,63.16,393.71000000000004
449,"Shenzhen Sdmc Technology Co., Ltd",SDMC Technology,322.26,71.43,393.69
374,OMD AS,OMD Norway,330.55,62.5,393.05
216,GSM ASSOCIATION,GSMA Training,335.88,57.14,393.02
281,JOB-INDEX A/S,Jobindex,316.81,76.19,393.0
349,NETIC A/S,Netic,321.46,71.43,392.89
472,South Pole Sweden AB,South Pole,325.77,66.67,392.44
136,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,Delta Electronics,334.71,57.63,392.34
83,C&W Services (S) Pte. Ltd.,CW Aero Services,334.71,56.41,391.12
130,DELOITTE ADVOKATFIRMA AS,Deloitte Corporate Finance Norway,330.55,60.38,390.93
232,HOLDSPORT.DK ApS,Holdsport,318.89,72.0,390.89
76,BOOST AI AS,Boost,328.32,62.5,390.82
186,Extenda Retail AS Avd Oslo,EXTENDA RETAIL,320.52,70.0,390.52
165,ELTEL NETWORKS CONNECT A/S,Eltel Networks,316.81,73.68,390.49
544,TREND MICRO (SINGAPORE) PTE. LTD.,Touch of Trend Singapore,334.71,55.56,390.27
73,Binkies Holding B.V.,Binkies,331.91,58.33,390.24
486,Syarikat Takaful Malaysia Keluarga Berhad,CariTakaful.Keluarga,331.14,59.02,390.15999999999997
241,HUAWEI TECHNOLOGIES (DENMARK) ApS,Xplora Technologies Denmark,316.81,73.33,390.14
493,Talentech ApS,Talentech Denmark,316.81,73.33,390.14
517,TELENOR GO PTE. LTD.,Telenor Asia,334.71,55.17,389.88
